t_unix | state | seq | age_ms | estop_latched | thr | str | tgt_L | tgt_R | act_L | act_R | L_dir L_pwm | R_dir R_pwm
1769262678.475 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262678.599 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262678.722 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262678.844 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262678.970 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262679.095 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262679.220 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262679.344 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262679.469 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262679.592 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262679.718 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262679.842 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262679.965 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262680.088 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262680.212 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262680.335 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262680.460 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262680.584 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262680.708 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262680.831 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262680.954 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262681.078 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262681.201 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262681.324 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262681.450 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262681.574 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262681.699 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262681.822 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262681.945 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262682.068 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262682.192 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262682.314 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262682.440 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262682.565 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
